id,name,address,area,state,direction_url,scraped_at,opening_time,closing_time
outlet_117,ZUS Coffee – Sapura Lot 91 KLCC,"Lot C-17, Level Concourse, Permata Sapura, Kuala Lumpur City Centre, 50088 Kuala Lumpur.",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/7jfFcmfhtje1aJWr8,2025-07-07 01:48:01,10:00,21:00
outlet_118,"ZUS Coffee – Taman Myra Meranti, Puchong","No. 8A (Ground Floor), Jalan MM4, Taman Myra Meranti, 47120 Puchong, Selangor Darul Ehsan",Puchong,Selangor Darul Ehsan,https://maps.app.goo.gl/T2FaCc1iy6ptTeor8,2025-07-07 01:48:01,06:00,20:00
outlet_119,ZUS Coffee – OUG Parklane,"A1-0-12 (Ground Floor), OUG Parklane, Jalan 1/152, Taman OUG Parklane, 58200 Kuala Lumpur",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/W24LoGds3JoiD3m37,2025-07-07 01:48:01,09:00,23:00
outlet_120,ZUS Coffee – Centro Mall,"Lot GK105, Ground Floor, Centro Mall, 8, Jalan Batu Tiga Lama, Kawasan 16, 41300 Klang, Selangor",Klang,Selangor,https://maps.app.goo.gl/PNyXbe5UZ439yJQj9,2025-07-07 01:48:01,06:00,22:30
outlet_121,ZUS Coffee – Lotus’s Klang,"Lot GK14. KS 6, 3, Jalan Batu Nilam 6, Bandar Bukit Tinggi 1, 41200 Klang, Selangor.",Klang,Selangor,https://maps.app.goo.gl/6rScsK1tKDm6Mcac6,2025-07-07 01:48:16,07:00,19:00
outlet_122,ZUS Coffee – Pavilion Damansara Heights,"Lot 2.13.01. Level 2. No. 3, Jalan Damanlela, Pavilion Damansara Heights 50490 Kuala Lumpur.",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/TqbHh3pMfNtRj4ht9,2025-07-07 01:48:16,07:30,21:00
outlet_123,ZUS Coffee – Shaftsbury Square,"Level P1-23, Lot 2350, Shaftsbury Square, Cyber 6, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,https://maps.app.goo.gl/rEPRLDbi6WzySivA6,2025-07-07 01:48:16,10:00,22:00
outlet_124,ZUS Coffee – SS2,"No.5, Jalan SS2/67, SS2, 47300 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/bWF7JyTj4fsrvduv8,2025-07-07 01:48:16,06:00,18:00
outlet_125,ZUS Coffee – Sunway Velocity Two,"Lot VS1-G-01, Sunway Velocity Two, Jalan Peel, Seksyen 90, 55100 Wilayah Persekutuan Kuala Lumpur.",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/cpAihjdHZWuwS8fg8,2025-07-07 01:48:16,06:00,19:00
outlet_126,ZUS Coffee – Kidzania Kuala Lumpur,"Curve NX, Jalan PJU 7/5, Mutiara, Damansara 47810 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/y8ftJcN4VPpD37U8A,2025-07-07 01:48:16,06:00,22:30
